session_id,iteration,timestamp,selected_users,algorithm,power_dBm,power_change_dB,success,overall_score,avg_delta_improvement,worst_user_improvement,users_satisfied_before,users_satisfied_after,satisfaction_improvement,power_waste_score,fairness_before,fairness_after,fairness_improvement,execution_time_s
20250924_024756,1,2025-09-24T02:47:59.070511,1;2;3;4,manifold_optimization_adam_multi,25.0,5.0,False,0.6,4.415369896990049,5.0244909051920565,3,3,0,56.329264323596284,333.0601852082301,366.27481304874465,-33.21462784051454,1.4740514755249023
20250924_024756,2,2025-09-24T02:48:00.605808,1;2;4,manifold_optimization_adam_multi,30.0,5.0,False,0.6,4.30590866804585,2.9705157741095434,3,3,0,57.466553003703055,333.0601852082301,378.48151297397965,-45.42132776574954,1.4569292068481445
20250924_024756,3,2025-09-24T02:48:02.342354,1;2;3;4;5,manifold_optimization_adam_multi,35.0,5.0,True,0.8,6.549273620321598,7.635417114688057,3,4,1,63.674945765552536,333.0601852082301,349.5233208644524,-16.463135656222278,1.6352252960205078
20250924_024756,4,2025-09-24T02:48:04.083716,1;2;4;5,manifold_optimization_adam_multi,40.0,5.0,True,0.9,5.619289017435973,7.004469313014031,3,4,1,57.95265824280249,333.0601852082301,330.003460170058,3.0567250381720896,1.6433498859405518
